[[34m2026-04-24 01:28:02[0m] (step=0000220) Train Loss mse: 0.2138, Train Loss ce: 0.0330, Train Steps/Sec: 0.17, Tokens/Sec: 31.61k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23227, Sample Lens: [5803, 5803, 5816, 5805], ETA: 7.81h, 
[[34m2026-04-24 01:29:01[0m] (step=0000230) Train Loss mse: 0.2185, Train Loss ce: 0.0443, Train Steps/Sec: 0.17, Tokens/Sec: 31.61k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23241, Sample Lens: [5819, 5809, 5810, 5803], ETA: 7.79h, 
[[34m2026-04-24 01:30:00[0m] (step=0000240) Train Loss mse: 0.2133, Train Loss ce: 0.0367, Train Steps/Sec: 0.17, Tokens/Sec: 31.49k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5816, 5803, 5803, 5818], ETA: 7.80h, 
[[34m2026-04-24 01:30:59[0m] (step=0000250) Train Loss mse: 0.2431, Train Loss ce: 0.0345, Train Steps/Sec: 0.17, Tokens/Sec: 31.53k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5804, 5813, 5805, 5817], ETA: 7.78h, 
[[34m2026-04-24 01:31:58[0m] (step=0000260) Train Loss mse: 0.2303, Train Loss ce: 0.0328, Train Steps/Sec: 0.17, Tokens/Sec: 31.59k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23232, Sample Lens: [5814, 5804, 5806, 5808], ETA: 7.75h, 
[[34m2026-04-24 01:32:57[0m] (step=0000270) Train Loss mse: 0.2224, Train Loss ce: 0.0331, Train Steps/Sec: 0.17, Tokens/Sec: 31.47k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23240, Sample Lens: [5803, 5816, 5804, 5817], ETA: 7.76h, 
[[34m2026-04-24 01:33:56[0m] (step=0000280) Train Loss mse: 0.2253, Train Loss ce: 0.0392, Train Steps/Sec: 0.17, Tokens/Sec: 31.54k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23230, Sample Lens: [5805, 5817, 5804, 5804], ETA: 7.73h, 
[[34m2026-04-24 01:34:55[0m] (step=0000290) Train Loss mse: 0.2332, Train Loss ce: 0.0389, Train Steps/Sec: 0.17, Tokens/Sec: 31.46k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23230, Sample Lens: [5803, 5803, 5815, 5809], ETA: 7.73h, 
[[34m2026-04-24 01:35:54[0m] (step=0000300) Train Loss mse: 0.2307, Train Loss ce: 0.0356, Train Steps/Sec: 0.17, Tokens/Sec: 31.43k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23236, Sample Lens: [5815, 5803, 5813, 5805], ETA: 7.72h, 
[[34m2026-04-24 01:36:53[0m] (step=0000310) Train Loss mse: 0.2542, Train Loss ce: 0.0369, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5814, 5805, 5804, 5816], ETA: 7.69h, 
